p,Ratio LSA,p,Ratio LPT,p,Ratio RMA
1,1.3333333333333333,1,1.0,1,0.6666666666666666
2,1.6,2,1.0,2,1.2
3,1.7142857142857142,3,1.0,3,1.2857142857142858
4,1.7777777777777777,4,1.0,4,2.0
5,1.8181818181818181,5,1.0,5,1.6363636363636365
6,1.8461538461538463,6,1.0,6,1.5384615384615385
7,1.8666666666666667,7,1.0,7,1.6
8,1.8823529411764706,8,1.0,8,1.411764705882353
9,1.894736842105263,9,1.0,9,1.6842105263157894
10,1.9047619047619047,10,1.0,10,1.9523809523809523
15,1.935483870967742,15,1.0,15,1.5806451612903225
20,1.951219512195122,20,1.0,20,1.4634146341463414
25,1.9607843137254901,25,1.0,25,1.2941176470588236
30,1.9672131147540983,30,1.0,30,1.3770491803278688
35,1.971830985915493,35,1.0,35,1.352112676056338
40,1.9753086419753085,40,1.0,40,1.5308641975308641
45,1.978021978021978,45,1.0,45,1.3736263736263736
50,1.9801980198019802,50,1.0,50,1.3267326732673268
55,1.981981981981982,55,1.0,55,1.3243243243243243
60,1.9834710743801653,60,1.0,60,1.2892561983471074
70,1.9858156028368794,70,1.0,70,1.2907801418439717
80,1.9875776397515528,80,1.0,80,1.2484472049689441
90,1.988950276243094,90,1.0,90,1.2651933701657458
100,1.9900497512437811,100,1.0,100,1.2736318407960199
120,1.991701244813278,120,1.0,120,1.2614107883817427
140,1.99288256227758,140,1.0,140,1.2669039145907472
160,1.9937694704049844,160,1.0,160,1.308411214953271
180,1.994459833795014,180,1.0,180,1.188365650969529
200,1.9950124688279303,200,1.0,200,1.2418952618453865
300,1.9966722129783694,300,1.0,300,1.1896838602329451
