m,n,k,d_min,d_max,ratio moyen LSA,ratio moyen LPT,ratio moyen RMA
45,1886,54,133,510,1.0200898107705663,1.001095370166252,1.3802969467339083
25,155,34,143,317,1.1017473271247205,1.078895512862859,1.7950928171932263
16,221,69,50,188,1.056471694004657,1.0074770057721518,1.5582784456363004
31,60,23,69,115,1.2254649461231164,1.048188545145249,2.9951635442694644
42,965,28,118,467,1.036987983585315,1.0010853354074027,1.4699223344146286
16,270,21,6,14,1.0417254714513806,1.0090763703975796,1.456983867832275
5,25,66,126,274,1.0870243737624086,1.0080845254281603,1.5218264255908405
45,1587,42,62,243,1.0244036086078594,1.0085217380922127,1.428570905140334
11,105,16,88,185,1.0594091820623346,1.0322756068154084,1.5427286520560068
27,540,64,50,138,1.0370133518157143,1.0009243339376197,1.497025703175475
12,108,37,56,110,1.0661919121898422,1.002708675037074,1.5885974894082353
13,77,90,95,118,1.0460742397199834,1.0141992527299108,1.7275697143698854
39,801,62,27,77,1.0388129004613489,1.0124049407606202,1.525951628668942
2,4,51,80,270,1.110036579461509,0.984861072577759,1.147519791978238
23,442,99,40,146,1.040689946650391,1.0174835585411,1.4852764860817533
5,10,81,14,30,1.185095487940956,1.0506778507415988,1.8333339629662821
23,83,56,89,160,1.1758427613913442,1.0846055221399813,2.128722529442206
40,1402,90,89,330,1.0229438537070026,1.0112987579512887,1.4007880797464818
22,262,98,125,454,1.061585019201619,1.0054284536432045,1.6548237828588177
21,230,6,72,137,1.0528782718748615,1.0050686434721516,1.7246679801942844
36,393,40,93,205,1.063468790610665,1.006780213156923,1.7165265974297648
42,609,90,54,133,1.0490536964614137,1.020770030963,1.6353907179769571
14,65,21,60,177,1.1436085345394145,1.049677856859406,1.8463353655602652
11,113,37,50,145,1.0609932214349194,1.0362999635188492,1.520788570983553
44,1554,58,106,207,1.0189625549686911,1.0131135583393986,1.3970724022100176
45,1603,18,124,333,1.0214140864769314,1.0059553450970709,1.3534469283724233
29,860,71,117,141,1.0162211243492256,1.0107046647462856,1.3946287822274412
45,147,100,103,136,1.2217989047540716,1.1923360207879086,2.426064663449493
40,1170,76,110,314,1.0264793496027265,1.0133418070438511,1.4193026665185993
39,511,99,40,140,1.0621348638214065,1.0293883273157562,1.6677278935823736
49,1505,45,108,335,1.0262260373297667,1.0048416524187351,1.4601230212418592
8,69,38,56,109,1.0572486099041227,1.031711447156613,1.5084441452166306
7,18,58,24,80,1.2361317675977592,1.1016052055140182,1.9282396041036998
33,942,77,133,437,1.027615115112194,1.007685527603799,1.435237099609951
43,1513,97,25,46,1.0191644702223481,1.0164145168394445,1.388160623802951
29,370,51,51,152,1.0582383680310794,1.0113132861204475,1.6643812557565023
3,13,34,6,24,1.1026980705475637,0.9879450247777922,1.357091743835892
25,171,84,108,204,1.088615849458046,1.0201481274804962,1.8458337694697637
26,587,38,43,54,1.02348966284072,1.0170237387516905,1.4353531094411256
25,151,80,143,147,1.1516051541180383,0.994601890000246,1.8504342920479087
6,14,4,28,65,1.2479119129193925,1.1748948143654507,1.6795386653430855
5,26,30,105,208,1.0920514303216677,0.9831096036367801,1.487310257595472
43,1802,27,136,370,1.0184559829378443,1.0013495494971738,1.3618058394071388
5,17,31,121,462,1.1604274283067402,1.0745161850843092,1.6254214950038723
6,10,97,42,52,1.2377333029852824,1.1916431057716232,1.8865553637250596
42,620,19,7,16,1.0530392321677589,1.0134183868690576,1.6223815160518271
24,99,42,129,373,1.181599454798071,1.1058186478841907,2.0920370933392864
37,904,94,124,340,1.0310568550859636,1.012622333180673,1.4718587947849895
45,73,67,100,396,1.5478539023405,1.1028207807137576,3.1673133708289454
47,790,10,51,177,1.0474842441014172,1.0063519014752713,1.6541628480734
27,365,52,146,309,1.0497063159834175,1.0234346420145473,1.6337647213117765
8,45,12,48,96,1.0879510854456849,1.0484951583486166,1.6796684618711446
25,377,35,25,66,1.0488629268368028,1.033211068681842,1.5582976002944535
38,1277,78,27,94,1.024195873986709,1.005717434694061,1.3946327680589974
17,96,77,90,297,1.1205025711853214,1.0357427398354198,1.8616157490173808
8,30,80,119,416,1.1622853846187295,1.0473734816584115,1.7776340277109177
